PLT_CN,LATITUDE,LONGITUDE,SURFACE_CLASS,SURFACE_BD_COEF,SURFACE_LOAD_COEF
wscatclover00010125,,,TL8,,
wscatclover00011024,,,TL8,,
wscatclover00020125,,,TL8,,
wscatclover00021024,,,TL8,,
wscatclover00030125,,,TL8,,
wscatclover00031024,,,TL8,,
wscatclover00040225,,,TL8,,
wscatclover00041024,,,TL8,,
wscatclover00050225,,,TL8,,
wscatclover00051024,,,TL8,,
wscatclover00060125,,,TL8,,
wscatclover00061024,,,TL8,,
wscatclover00070125,,,TL8,,
wscatclover00071024,,,TL8,,
wscatclover00080125,,,TL8,,
wscatclover00081024,,,TL8,,
